TaxaName,Lineage,Count,Proportion_All(%),Proportion_Classified(%)
Achromobacter piechaudii,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter,2,0.00400753,0.0900901
Achromobacter xylosoxidans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter,6,0.0120226,0.27027
Acidaminococcus intestini,Bacteria;Firmicutes;Negativicutes;Selenomonadales;Acidaminococcaceae;Acidaminococcus,1,0.00200377,0.045045
Acidiphilium cryptum,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium,1,0.00200377,0.045045
Acidithiobacillus caldus,Bacteria;Proteobacteria;Acidithiobacillia;Acidithiobacillales;Acidithiobacillaceae;Acidithiobacillus,3,0.0060113,0.135135
Acidovorax avenae,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,7,0.0140264,0.315315
Acidovorax citrulli,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,8,0.0160301,0.36036
Acidovorax delafieldii,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,1,0.00200377,0.045045
Acidovorax ebreus,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,6,0.0120226,0.27027
Acidovorax sp. JS42,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,8,0.0160301,0.36036
Acidovorax sp. KKS102,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Acidovorax,9,0.0180339,0.405405
Acinetobacter baumannii,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,10,0.0200377,0.45045
Acinetobacter haemolyticus,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.00400753,0.0900901
Acinetobacter johnsonii,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.00400753,0.0900901
Acinetobacter junii,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter,2,0.00400753,0.0900901
Actinobacillus pleuropneumoniae,Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Actinobacillus,1,0.00200377,0.045045
Aequorivita sublithincola,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Aequorivita,1,0.00200377,0.045045
Aerococcus viridans,Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus,1,0.00200377,0.045045
Aeromonas hydrophila,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,2,0.00400753,0.0900901
Aeromonas salmonicida,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,2,0.00400753,0.0900901
Aeromonas veronii,Bacteria;Proteobacteria;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas,1,0.00200377,0.045045
Afipia sp. 1NLS2,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Afipia,1,0.00200377,0.045045
Agrobacterium fabrum,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Agrobacterium,1,0.00200377,0.045045
Alicycliphilus denitrificans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Comamonadaceae;Alicycliphilus,13,0.026049,0.585586
Alkalilimnicola ehrlichii,Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Alkalilimnicola,1,0.00200377,0.045045
Alteromonas macleodii,Bacteria;Proteobacteria;Gammaproteobacteria;Alteromonadales;Alteromonadaceae;Alteromonas,2,0.00400753,0.0900901
Amycolatopsis mediterranei,Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis,2,0.00400753,0.0900901
Amycolatopsis orientalis,Bacteria;Actinobacteria;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Amycolatopsis,1,0.00200377,0.045045
Anabaena sp. 90,Bacteria;Cyanobacteria;;Nostocales;Nostocaceae;Anabaena,1,0.00200377,0.045045
Aromatoleum aromaticum,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Aromatoleum,3,0.0060113,0.135135
Arthrobacter chlorophenolicus,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter,1,0.00200377,0.045045
Arthrobacter phenanthrenivorans,Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Arthrobacter,1,0.00200377,0.045045
Arthrospira platensis,Bacteria;Cyanobacteria;;Oscillatoriales;;Arthrospira,1,0.00200377,0.045045
Aspergillus fumigatus,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,2,0.00400753,0.0900901
Aspergillus nidulans,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,2,0.00400753,0.0900901
Aspergillus niger,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,2,0.00400753,0.0900901
Aspergillus oryzae,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,5,0.0100188,0.225225
Aspergillus terreus,Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus,1,0.00200377,0.045045
Azoarcus sp. BH72,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azoarcus,1,0.00200377,0.045045
Azorhizobium caulinodans,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;Azorhizobium,2,0.00400753,0.0900901
Azospira oryzae,Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira,8,0.0160301,0.36036
Azospirillum brasilense,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum,2,0.00400753,0.0900901
Azospirillum lipoferum,Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum,3,0.0060113,0.135135
Azotobacter vinelandii,Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Azotobacter,4,0.00801507,0.18018
Bacillus amyloliquefaciens,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0.00200377,0.045045
Bacillus anthracis,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0.00200377,0.045045
Bacillus cellulosilyticus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0.00200377,0.045045
Bacillus cereus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,4,0.00801507,0.18018
Bacillus halodurans,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0.00200377,0.045045
Bacillus methylotrophicus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0.00200377,0.045045
Bacillus pseudofirmus,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0.00200377,0.045045
Bacillus sp. SG-1,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,1,0.00200377,0.045045
Bacillus subtilis,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,2,0.00400753,0.0900901
Bacillus thuringiensis,Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus,8,0.0160301,0.36036
Bacteroides fragilis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,2,0.00400753,0.0900901
Bacteroides sp. 2_1_16,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,1,0.00200377,0.045045
Bacteroides sp. 3_1_33FAA,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,2,0.00400753,0.0900901
Bacteroides uniformis,Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides,2,0.00400753,0.0900901
Bifidobacterium animalis,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,2,0.00400753,0.0900901
Bifidobacterium bifidum,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,3,0.0060113,0.135135
Bifidobacterium longum,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,2,0.00400753,0.0900901
Bifidobacterium pseudocatenulatum,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,1,0.00200377,0.045045
Bifidobacterium thermophilum,Bacteria;Actinobacteria;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium,1,0.00200377,0.045045
Blastococcus saxobsidens,Bacteria;Actinobacteria;Actinobacteria;Geodermatophilales;Geodermatophilaceae;Blastococcus,10,0.0200377,0.45045
Bordetella avium,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,4,0.00801507,0.18018
Bordetella bronchiseptica,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,7,0.0140264,0.315315
Bordetella parapertussis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,3,0.0060113,0.135135
Bordetella pertussis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella,6,0.0120226,0.27027
Borreliella bissettii,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Borreliaceae;Borreliella,1,0.00200377,0.045045
Borreliella valaisiana,Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Borreliaceae;Borreliella,2,0.00400753,0.0900901
Bradyrhizobium diazoefficiens,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium,3,0.0060113,0.135135
Bradyrhizobium japonicum,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium,1,0.00200377,0.045045
Bradyrhizobium oligotrophicum,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium,1,0.00200377,0.045045
Bradyrhizobium sp. BTAi1,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium,2,0.00400753,0.0900901
Bradyrhizobium sp. S23321,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bradyrhizobium,3,0.0060113,0.135135
Brevundimonas sp. BAL3,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas,1,0.00200377,0.045045
Brucella canis,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Brucella,1,0.00200377,0.045045
Brucella melitensis,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Brucella,2,0.00400753,0.0900901
Brucella pinnipedialis,Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Brucellaceae;Brucella,1,0.00200377,0.045045
Burkholderia ambifaria,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,22,0.0440829,0.990991
Burkholderia cenocepacia,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,21,0.0420791,0.945946
Burkholderia cepacia,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,5,0.0100188,0.225225
Burkholderia dolosa,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,9,0.0180339,0.405405
Burkholderia gladioli,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,3,0.0060113,0.135135
Burkholderia glumae,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,6,0.0120226,0.27027
Burkholderia graminis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,1,0.00200377,0.045045
Burkholderia lata,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,4,0.00801507,0.18018
Burkholderia mallei,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,12,0.0240452,0.540541
Burkholderia multivorans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,17,0.034064,0.765766
Burkholderia oklahomensis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,1,0.00200377,0.045045
Burkholderia phenoliruptrix,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,1,0.00200377,0.045045
Burkholderia phytofirmans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,2,0.00400753,0.0900901
Burkholderia pseudomallei,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,24,0.0480904,1.08108
Burkholderia sp. CCGE1001,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,2,0.00400753,0.0900901
Burkholderia sp. CCGE1002,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,2,0.00400753,0.0900901
Burkholderia sp. CCGE1003,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,2,0.00400753,0.0900901
Burkholderia sp. KJ006,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,4,0.00801507,0.18018
Burkholderia sp. RPE64,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,1,0.00200377,0.045045
Burkholderia sp. YI23,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,2,0.00400753,0.0900901
Burkholderia thailandensis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,10,0.0200377,0.45045
Burkholderia ubonensis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,6,0.0120226,0.27027
Burkholderia vietnamiensis,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,6,0.0120226,0.27027
Burkholderia xenovorans,Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia,5,0.0100188,0.225225
Calyptogena okutanii thioautotrophic gill symbiont,Bacteria;Proteobacteria;Gammaproteobacteria;;;,1,0.00200377,0.045045
Campylobacter jejuni,Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter,2,0.00400753,0.0900901
Candida dubliniensis,Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Debaryomycetaceae;Candida,8,0.0160301,0.36036
Candidatus Accumulibacter phosphatis,Bacteria;Proteobacteria;Betaproteobacteria;;;Candidatus Accumulibacter,1,0.00200377,0.045045
Candidatus Atelocyanobacterium thalassa,Bacteria;Cyanobacteria;;Chroococcales;;Candidatus Atelocyanobacterium,1,0.00200377,0.045045
Candidatus Phytoplasma mali,Bacteria;Tenericutes;Mollicutes;Acholeplasmatales;Acholeplasmataceae;Candidatus Phytoplasma,1,0.00200377,0.045045
Capnocytophaga ochracea,Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga,1,0.00200377,0.045045
Catenibacterium mitsuokai,Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Catenibacterium,1,0.00200377,0.045045
Catenulispora acidiphila,Bacteria;Actinobacteria;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora,1,0.00200377,0.045045
Caulobacter sp. K31,Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Caulobacter,1,0.00200377,0.045045
